rule,t,avgMaxRadius,stdMaxRadius,avgAliveCells,stdAliveCells
Rule1112,99,70.5418,0.301982,3856.79,32.0584
Rule3323,0,14.8741,2.07680,52.2400,9.97281
Rule3323,1,13.1361,2.07991,42.6700,10.0464
Rule3323,2,12.7406,2.19911,43.4700,12.1301
Rule3323,3,12.7098,2.22283,41.1400,12.9233
Rule3323,4,12.5429,2.33455,41.9700,14.6097
Rule3323,5,12.4665,2.44880,40.4000,13.6803
Rule3323,6,12.5347,2.46614,41.4900,15.8296
Rule3323,7,12.6053,2.49573,40.6800,15.6359
Rule3323,8,12.5173,2.61078,40.9800,16.3503
Rule3323,9,12.6091,2.66699,41.3200,16.7488
Rule3323,10,12.7396,2.65395,41.1200,17.2001
Rule3323,11,12.8061,2.70130,41.6800,18.0487
Rule3323,12,12.8578,2.72809,41.7900,18.2404
Rule3323,13,12.8738,2.77334,43.3200,19.6977
Rule3323,14,12.9164,2.85614,42.6000,19.3813
Rule3323,15,13.0124,2.90047,43.8800,19.7112
Rule3323,16,13.0723,2.88418,43.8300,20.9372
Rule3323,17,13.1994,2.85083,44.2700,20.6426
Rule3323,18,13.2633,2.90352,44.3200,20.7705
Rule3323,19,13.4385,2.92443,45.5700,22.5927
Rule3323,20,13.5074,3.00007,45.3500,22.0332
Rule3323,21,13.5626,2.99945,45.3400,23.5626
Rule3323,22,13.5938,3.02995,45.2200,23.6641
Rule3323,23,13.6622,3.04579,45.0300,25.1213
Rule3323,24,13.7352,3.05725,45.4600,25.5779
Rule3323,25,13.7397,3.20999,44.5800,25.5494
Rule3323,26,13.8127,3.20187,44.6200,26.1521
Rule3323,27,13.8993,3.27351,45.1100,26.4292
Rule3323,28,13.9387,3.28503,44.0000,25.8855
Rule3323,29,14.0616,3.34246,44.8900,24.6699
Rule3323,30,14.1285,3.38362,43.6500,24.3731
Rule3323,31,14.2547,3.45136,45.3300,25.0148
Rule3323,32,14.3205,3.45570,45.2000,26.3508
Rule3323,33,14.4522,3.49933,45.7900,26.1686
Rule3323,34,14.4237,3.57840,45.3500,26.6649
Rule3323,35,14.5099,3.66441,46.5600,28.1221
Rule3323,36,14.5125,3.71834,46.0300,27.6071
Rule3323,37,14.6202,3.77108,46.7100,28.9581
Rule3323,38,14.5776,3.80652,47.0200,28.3331
Rule3323,39,14.7022,3.86731,47.8400,29.3873
Rule3323,40,14.7412,3.88177,46.2000,28.3221
Rule3323,41,14.8217,3.99332,47.4200,29.8323
Rule3323,42,14.9324,3.99920,47.5400,29.2694
Rule3323,43,15.0713,4.10189,47.9100,31.0757
Rule3323,44,15.1082,4.18540,46.7500,29.5123
Rule3323,45,15.2246,4.28885,46.5300,29.4225
Rule3323,46,15.2415,4.35375,46.0800,28.9150
Rule3323,47,15.3270,4.47139,46.0700,29.3138
Rule3323,48,15.3615,4.56109,46.2700,30.7301
Rule3323,49,15.4471,4.61646,46.0000,29.3870
Rule3323,50,15.5023,4.66775,46.0800,29.7829
Rule3323,51,15.5317,4.70939,46.3300,29.6750
Rule3323,52,15.5954,4.87360,46.8900,30.5650
Rule3323,53,15.6258,4.91485,46.9700,30.1188
Rule3323,54,15.7090,4.94809,46.8200,31.1281
Rule3323,55,15.7917,5.04342,46.9800,31.2878
Rule3323,56,15.8382,5.03950,46.3600,30.7757
Rule3323,57,15.9696,5.10712,46.6200,31.0983
Rule3323,58,16.0877,5.13234,46.9800,30.7971
Rule3323,59,16.1506,5.16366,48.2500,32.6569
Rule3323,60,16.2576,5.16988,47.2400,32.6559
Rule3323,61,16.2197,5.20103,48.2200,33.8471
Rule3323,62,16.3361,5.20017,48.0800,33.7850
Rule3323,63,16.4181,5.22191,49.4400,35.0239
